,question,label
0,"What type of statue is described, and what is the girl in it holding?",rag
1,What is depicted on the panel showing dancing girls?,rag
2,What is the central element of the mosaic floor described?,rag
3,What animals are shown under the pomegranate tree in the mosaic?,rag
4,How is the mosaic's border described in terms of its visual effect?,rag
5,What color are the toenails painted in the description?,rag
6,What is the significance of the lion in the mosaic scene?,rag
7,How would you describe the overall appearance of the mosaic?,rag
8,What cultural or historical significance might a mosaic like this hold?,rag
9,What does the tapestry-like effect of the mosaic border suggest about its design?,rag
