question,label
"Tell me, who led the victorious forces against the Judaean army and laid siege to Jerusalem?",rag
"Wow, could you tell me more about the event that triggered the siege of Jerusalem?",rag
I want to know about the year the ruler installed himself as the ruler of Damascus.,rag
What do you think about the region the ruler of Damascus also controlled alongside the city?,rag
Can you explain why the ruler was invited to Damascus?,rag
Do you have any insights on the significance of Coele-Syria in the context of the ruler's actions?,rag
Give me details on how the ruler's actions in Jerusalem and Damascus impacted the political landscape of the region.,rag
I'm curious about the consequences of the ruler's defeat of the Judaean army.,rag
Expand on what happened as a result of the ruler's siege of Jerusalem.,rag
How would you describe the influence the ruler's control of Coele-Syria had on the surrounding areas?,rag
Who defeated the Judaean army and laid siege to Jerusalem?,rag
What event led to the siege of Jerusalem?,rag
In what year did the ruler install himself as the ruler of Damascus?,rag
What region did the ruler of Damascus also rule alongside the city?,rag
Why was the ruler invited to Damascus?,rag
What was the significance of Coele-Syria in the context of the ruler's actions?,rag
How did the ruler's actions in Jerusalem and Damascus impact the political landscape of the region?,rag
What were the consequences of the ruler's defeat of the Judaean army?,rag
What was the outcome of the ruler's siege of Jerusalem?,rag
How did the ruler's control of Coele-Syria influence the surrounding areas?,rag
