,question,label
0,What is the capital of Syria?,no_rag
1,Can you tell me a traditional Syrian dish?,no_rag
2,"Hello, how are you?",no_rag
3,What is something interesting about Syria?,no_rag
4,What do you think about Syrian architecture?,no_rag
5,What’s your favorite Syrian food?,no_rag
6,When is a traditional Syrian wedding held?,no_rag
7,How do people in Syria celebrate Eid?,no_rag
8,What is the name of the famous mosque in Damascus?,no_rag
9,Can you describe a Syrian marketplace?,no_rag
10,What is a popular sport in Syria?,no_rag
11,"Good morning, how are you?",no_rag
12,What’s a common greeting in Syria?,no_rag
13,Can you recommend a Syrian dessert?,no_rag
14,What is the significance of the Euphrates River in Syria?,no_rag
15,How do Syrians typically welcome guests?,no_rag
16,What is a famous Syrian historical figure?,no_rag
17,What do you like about Syrian music?,no_rag
18,What’s a traditional Syrian instrument?,no_rag
19,Can you tell me about Syrian New Year celebrations?,no_rag
20,What is the weather like in Syria during summer?,no_rag
21,How does Syria celebrate Independence Day?,no_rag
22,What is a popular Syrian proverb?,no_rag
23,Can you describe a traditional Syrian outfit?,no_rag
24,What is the role of tea in Syrian culture?,no_rag
25,What is a common Syrian surname?,no_rag
26,Can you tell me about Syrian hospitality?,no_rag
27,What is the significance of olives in Syria?,no_rag
28,How do Syrians celebrate Christmas?,no_rag
29,What is a traditional Syrian game?,no_rag
30,Can you recommend a Syrian book?,no_rag
31,What is the name of the highest mountain in Syria?,no_rag
32,How do Syrians prepare for Ramadan?,no_rag
33,What is a popular Syrian dance?,no_rag
34,Can you describe a Syrian breakfast?,no_rag
35,What is the significance of the Syrian flag?,no_rag
36,How do Syrians celebrate birthdays?,no_rag
37,What is a traditional Syrian craft?,no_rag
38,Can you tell me about Syrian folklore?,no_rag
39,What is the role of family in Syrian culture?,no_rag
40,Can you describe a Syrian wedding ceremony?,no_rag
41,What is a popular Syrian holiday?,no_rag
42,How do Syrians celebrate Nowruz?,no_rag
43,What is a traditional Syrian dessert?,no_rag
44,Can you tell me about Syrian cuisine?,no_rag
45,What is the significance of the Damascus Rose?,no_rag
46,How do Syrians prepare for Easter?,no_rag
47,What is a traditional Syrian drink?,no_rag
48,Can you describe a Syrian marketplace?,no_rag
49,What is the role of coffee in Syrian culture?,no_rag
50,Can you tell me about Syrian traditions?,no_rag
51,What is a popular Syrian sport?,no_rag
52,How do Syrians celebrate Mother’s Day?,no_rag
53,What is a traditional Syrian musical instrument?,no_rag
54,Can you describe a Syrian home?,no_rag
55,What is the significance of the Syrian desert?,no_rag
56,How do Syrians prepare for summer?,no_rag
57,What is a traditional Syrian dish?,no_rag
58,Can you tell me about Syrian festivals?,no_rag
59,What is the role of education in Syria?,no_rag
60,How do Syrians celebrate spring?,no_rag
61,What is a popular Syrian fruit?,no_rag
62,Can you describe a Syrian school?,no_rag
63,What is the significance of the Syrian coastline?,no_rag
64,How do Syrians prepare for winter?,no_rag
65,What is a traditional Syrian game?,no_rag
66,Can you tell me about Syrian art?,no_rag
67,What is the role of religion in Syria?,no_rag
68,How do Syrians celebrate harvest season?,no_rag
69,What is a popular Syrian vegetable?,no_rag
70,Can you describe a Syrian village?,no_rag
71,What is the significance of the Syrian currency?,no_rag
72,How do Syrians prepare for holidays?,no_rag
73,What is a traditional Syrian dance?,no_rag
74,Can you tell me about Syrian music?,no_rag
75,What is the role of women in Syria?,no_rag
76,How do Syrians celebrate autumn?,no_rag
77,What is a popular Syrian spice?,no_rag
78,Can you describe a Syrian city?,no_rag
79,What is the significance of the Syrian alphabet?,no_rag
80,How do Syrians prepare for exams?,no_rag
81,What is a traditional Syrian holiday?,no_rag
82,Can you tell me about Syrian history?,no_rag
83,What is the role of men in Syria?,no_rag
84,How do Syrians celebrate summer?,no_rag
85,What is a popular Syrian fruit?,no_rag
86,Can you describe a Syrian restaurant?,no_rag
87,What is the significance of the Syrian dialect?,no_rag
88,How do Syrians prepare for weddings?,no_rag
89,What is a traditional Syrian custom?,no_rag
90,Can you tell me about Syrian traditions?,no_rag
91,What is the role of children in Syria?,no_rag
92,How do Syrians celebrate weekends?,no_rag
93,What is a popular Syrian activity?,no_rag
94,Can you describe a Syrian park?,no_rag
95,What is the significance of the Syrian landscape?,no_rag
96,How do Syrians prepare for Ramadan?,no_rag
97,What is a traditional Syrian recipe?,no_rag
98,Can you tell me about Syrian culture?,no_rag
99,What is the role of community in Syria?,no_rag
